Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;;"The basic principles of digital responsibility inspired by the work of Vincent Courboulay, Director of the Institute for Digital Responsibility
- Focus on the waste produced directly and indirectly by the use and consumption of digital objects
- Tips and tricks to reduce this waste production";Freelancer;;Digital sustainability for zero waste families;Morlaix;No;0,5;face to face and distancial learning;www.tisserands.bzh et https://www.linkedin.com/feed/update/urn:li:activity:6907681791600152576
Continuing Education;Privée (établissement de formation, Enterprise, etc.);Ping;;;;"You are developing a professional activity in the SSE, associative or third-party/fablab sectors, and you are committed to ethical, eco-responsible or solidarity-based values in your professional practice. These values are not just words and are embodied in your positions and actions. However, the use of digital tools from Google, Apple, Microsoft, Adobe (among other tentacular digital giants) to work and collaborate on a daily basis raises questions for you, as you have the impression that you are mobilising digital tools that are ""in dissonance"" with the values that you hold in your professional activity.

Would you like to move forward step by step on this aspect of your activity? This training course will enable you to take stock of your uses, identify alternatives that can be activated in your Professional context and test concrete solutions in a sandbox mode, in the company of other Professionals.";Association;Ping;Align your digital practices (tools, uses) with the values of your professional activity;Nantes;Certification Continuous monitoring during the course / Practical exercises;2;face to face;https://info.pingbase.net/offre-de-formation/#1638529798812-a741f1a7-1e06
Initial training;Privée (établissement de formation, Enterprise, etc.);;;;;"o become aware of the impact of digital technology in the tourism sector and to acquire the keys to responsible digital technology in order to integrate it coherently into one's sustainable tourism and CSR strategy.

Understand the synergies between sustainable tourism and responsible digital technology in order to build a discourse and an expertise adapted to the interlocutor.

Optimise your sustainable tourism strategy through communication levers and reasoned and adapted digital means.

Trainer Alary Alexandre (founder of the collective / responsible marketing consultant for sustainable tourism). Marie Husson (green IT and member of the digital green tourism collective) speaker (member of the eco-design website and positive impact social media collective)";Collective;Green tourism digital collective, with Formanova partner;Integrating Digital Sustainability into your sustainable tourism & CSR strategy;National;A knowledge MCQ with a training certificate;1;face to face and distancial learning;https://www.canva.com/design/DAE7aYGUMJY/fe-TdVeh6GZjXKSowQ9ybg/view?utm_content=DAE7aYGUMJY&utm_campaign=designshare&utm_medium
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;;How can we act for more ethical digital tools when we are not technical people? We will see together how to design, in a broad sense, business applications, websites or digital services that are more respectful of the environment and their users.;Agency et Training Organization;Jujotte;Sustainable digital design;Nantes;"At the end of the course, you will be able to :
- Acquire the theoretical basis of Sustainable digital design.
- Know the most impactful levers for more environmentally friendly interfaces
- Acquire the theoretical basis of web accessibility rules";1;face to face and distancial learning;https://www.notion.so/jujotte/Design-num-rique-responsable-91eb43034a0d4291b3be2c85ba496bfa
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;One or more modules / teaching units;;;TEMESIS;Understanding digital sustainability & the digital eco-design approach;Paris - France;"Assessment of knowledge acquired during the training course in the form of an interactive quiz
Evaluation Questionnaire at the end of the session in which the participant evaluates the training inputs and his/her ability to implement them";1,5;face to face and distancial learning;
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;;;;General interest association;Ecodesign & digital design pro workshop;Paris;"Understanding the environmental impacts of digital technology and the role of design in addressing these issues
Discover the key concepts of the eco-design approach
- Ability to estimate the environmental footprint of a course
- Be able to identify ways to improve and optimise certain web content to reduce the environmental impact of a digital service";0,5;face to face and distancial learning;
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"We propose a 3.5 hour workshop with the following structure
- Introduction to the environmental impacts of digital technology
- Impact analysis of 2 user paths
- Identification of the main action levers and examples of improvements
- Reminder of good design practices
- Questions and sharing";;;General interest association;Training in ecodesign of digital services by Designers Ethiques;Paris;"Understand the environmental challenges of digital technology
- Know what eco-design is all about
- Be able to estimate the environmental impact of a web course
- Acquire good ecodesign practices as a designer or digital service creator
- Identify the levers for action within your company";1;face to face and distancial learning;https://www.ut-capitole.fr/formations/nos-diplomes/masters/master-m2-mention-management-parcours-type-droit-et-gestion-de-la-res
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"1 - The environmental impact of digital technology
Effects of digital technology on the environment
Ecological footprint and social, economic and political
political impacts of digital technology
Global warming, greenhouse gases and carbon footprint
balance
2 - Sustainable digital
What is it about?
Sustainable Digital initiatives and actors
Laws and bills on the environmental impact of
digital
And digital technology at the service of the ecological transition?
The rebound effect
3 - The steps taken by players to promote digital sobriety
digital sobriety
Where do IT suppliers stand?
Maturity of enterprises and public organisations on the subject
subject
4 - Deploying digital sobriety in the Enterprise:
orders of magnitude, levers of action and the role of IT
The sources of carbon emissions from the IT Department
IT's carbon footprint and action plan
Levers for reduction: optimising its infrastructure and
equipment, purchasing policy and requirements for suppliers
Management and end of life of equipment,
Digital Sobriety by Design
Life cycle analysis
5 - Organising the approach within the company
Deploying a NR policy
Organising the governance of a digital strategy
Sustainable
Best practices and tools for NR governance
Involve the stakeholders: ISD business lines / purchasing department / CSR / communication
Purchasing department / CSR / communication
Steering its strategy on digital responsibility. Examples
of KPIs
The NR label
Strengths / Pedagogical means
? A training in small group by consultants experts in their field.
in their field.
? Case studies and quizzes to promote learning.
? An end-of-course assessment.
Skills acquired through the training
? Introduction to the environmental impact of digital technology.
? Understanding the issues at stake for the ISD and CSR teams.
Module";"1 - The environmental impact of digital technology
2 - Responsible digital
3 - Stakeholder approaches to digital sobriety
4 - Implementing digital sobriety in the enterprise
5 - Organising your approach within your company";;;Introduction to Sustainable Digital;Paris;Knowledge of the environmental impact of digital technology, understanding of ISD issues;1;face to face and distancial learning;https://www.elee.com/sites/elee-site/files/2022-02/El%C3%A9e%20-%20Catalogue%20des%20formations%202022_0.pdf
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"1 - The impact of digital technology
Some figures: state of play and orders of magnitude
What about digital for the ecological transition?
Social, political and economic impact of digital technology
The rebound effect
2 - Sustainable digital technology
What is it all about?
Sustainable Digital initiatives and actors
Laws, bills, regulations and public initiatives
initiatives
3 - The steps taken by players to promote digital sobriety
digital sobriety
Where do IT suppliers stand?
Focus on cloud players (American and French)
Maturity of French companies on the subject
4 - How to measure the environmental footprint of
4 - How to measure the environmental footprint of your organisation's IT?
Global warming and greenhouse gases.
The carbon footprint of IT
IT equipment
Identify and deepen the important items
Case study
5 - What about the footprint of services?
Life cycle assessment
What type of measurement for what purpose?
6 - Focus on digital for the ecological transition
transition
Net Zero Initiative
Case study on teleworking: opportunity or illusion?
7 - Deploying digital sobriety in the enterprise: action levers and the role of the IT department
levers of action and the role of the IT department
Establishing a reduction plan
How to handle compensation mechanisms?
Establishing and monitoring KPIs.
8 - Organising your approach within your company
Deploying a sustainable digital policy. Involve your
customers. Implement the cultural transformation.
Organise its governance
Customers' expectations of their suppliers
The 65 good practices of the INR and the NR label
Case studies";"Topics covered during the day:
1. Environmental impact of digital technology, notions of global warming, GHG emissions
2. Responsible digital, initiatives and actors, laws, digital and ecological transition
3. Steps towards digital sobriety, maturity of French companies
4. Deploying digital sobriety in Enterprise, orders of magnitude, carbon footprint, action levers
5. Organising the approach within the company: deploying a responsible digital policy, organising governance, involving stakeholders";;;Digital sobriety and its application in the ISD (Information Systems Department) strategy;Puteaux;"Develop a thorough understanding of the digital responsibility and regulatory environment
- Understand the principles of carbon accounting for IT and how to measure and identify its emissions streams
- Build an action plan and a Green IT strategy, involving teams and stakeholders";2;face to face and distancial learning;https://www.elee.com/sites/elee-site/files/2022-02/El%C3%A9e%20-%20Catalogue%20des%20formations%202022_0.pdf
Continuing Education;Privée (établissement de formation, Enterprise, etc.);;;;"Topics covered :
1. Impact of digital technology
2. Sustainable Digital
3. Stakeholder approaches to digital sobriety
4. How to measure the environmental footprint of your organisation's IT?
5. And the footprint of services?
6. Focus on digital for ecological transition
7. Deploying digital sobriety in the Enterprise: levers for action and the role of the IT department
8. Organising your approach within your company";"Topics covered :
1. Impact of digital technology
2. Responsible Digital
3. Stakeholder approaches to digital sobriety
4. How to measure the environmental footprint of your organisation's IT?
5. And the footprint of services?
6. Focus on digital for ecological transition
7. Deploying digital sobriety in the Enterprise: levers for action and the role of the IT department
8. Organising your approach within your company";;;Sustainable IT purchase;Puteaux;"knowledge for more sustainable IT procurement
- labels, certifications";1;face to face and distancial learning;https://www.elee.com/sites/elee-site/files/2022-02/El%C3%A9e%20-%20Catalogue%20des%20formations%202022_0.pdf
Initial training;Publique (University, école d'ingénieur, etc.);Mines Saint-Étienne;Henri Fayol Institute;;"Topics covered :
1. Evaluating suppliers and service providers: Understanding the carbon footprint of suppliers, CSR/environmental labels and certifications for companies, labels and certifications for IT and recycling of electronic objects in the B2B context, evaluation of the end-of-life management of equipment
2. Formalise a Sustainable digital purchasing policy: regulatory aspects, contract management, standards, IT contracts, clauses and specifications";"The ""Information Systems and Social Responsibility"" session is part of a course module on good software development practices. The majority of the module is dedicated to good practices from a programming point of view (design patterns, SOLID principles) but 2 hours are dedicated to digital responsibility.";;;;;;;;http://www.vcharpenay.link/courses/num-responsable.html
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;0;;
;;;;;;;;;;;;0;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;0;;
;;;;;;;;;;;;45;;
;;;;;;;;;;;;4;;
;;;;;;;;;;;;49;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;61;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Privée (établissement de formation, Enterprise, etc.);;;;;;;;;;;;;
;Publique (University, école d'ingénieur, etc.);;;;;;;;;;;;;
;Privée (établissement de formation, Enterprise, etc.);;;;;;;;;;;;;
;Privée (établissement de formation, Enterprise, etc.);;;;;;;;;;;;;
;Publique (University, école d'ingénieur, etc.);;;;;;;;;;;;;
;Privée (établissement de formation, Enterprise, etc.);;;;;;;;;;;;;
;Privée (établissement de formation, Enterprise, etc.);;;;;;;;;;;;;
;Privée (établissement de formation, Enterprise, etc.);;;;;;;;;;;;;
;Publique (University, école d'ingénieur, etc.);;;;;;;;;;;;;
;Publique (University, école d'ingénieur, etc.);;;;;;;;;;;;;
;Publique (University, école d'ingénieur, etc.);;;;;;;;;;;;;
